Size;Selection - Random 0-5;Selection - Random 0-4100;Selection - Almost sorted;Selection - Reverse sorted;Bubble - Random 0-5;Bubble - Random 0-4100;Bubble - Almost sorted;Bubble - Reverse sorted;Bubble 1 Iverson's condition - Random 0-5;Bubble 1 Iverson's condition - Random 0-4100;Bubble 1 Iverson's condition - Almost sorted;Bubble 1 Iverson's condition - Reverse sorted;Bubble 1 + 2 Iverson's conditions - Random 0-5;Bubble 1 + 2 Iverson's conditions - Random 0-4100;Bubble 1 + 2 Iverson's conditions - Almost sorted;Bubble 1 + 2 Iverson's conditions - Reverse sorted;Insertion - Random 0-5;Insertion - Random 0-4100;Insertion - Almost sorted;Insertion - Reverse sorted;Binary insertion - Random 0-5;Binary insertion - Random 0-4100;Binary insertion - Almost sorted;Binary insertion - Reverse sorted;Count - Random 0-5;Count - Random 0-4100;Count - Almost sorted;Count - Reverse sorted;Radix - Random 0-5;Radix - Random 0-4100;Radix - Almost sorted;Radix - Reverse sorted;Merge - Random 0-5;Merge - Random 0-4100;Merge - Almost sorted;Merge - Reverse sorted;Quick - Random 0-5;Quick - Random 0-4100;Quick - Almost sorted;Quick - Reverse sorted;Heap - Random 0-5;Heap - Random 0-4100;Heap - Almost sorted;Heap - Reverse sorted;Shell (Ciura sequence) - Random 0-5;Shell (Ciura sequence) - Random 0-4100;Shell (Ciura sequence) - Almost sorted;Shell (Ciura sequence) - Reverse sorted;Shell (Shell sequence) - Random 0-5;Shell (Shell sequence) - Random 0-4100;Shell (Shell sequence) - Almost sorted;Shell (Shell sequence) - Reverse sorted;
100;9789;9987;12583;9490;12906;14408;12405;18251;12800;14466;6603;18123;14130;15502;6821;18406;3970;5234;2258;10606;4878;6018;3459;9703;24314;22487;22429;22412;3333;8878;8914;8877;15656;6157;5697;6093;2184;1971;6228;11539;4999;6078;5284;6521;1605;2528;2133;1924;1738;2830;2536;2150;
200;36909;39681;38277;35150;57757;69421;43863;73017;57992;76542;40055;70093;60478;70825;42578;86994;18153;21600;9849;40660;18347;22416;11827;34904;23522;32220;22611;22704;6283;16969;16988;16971;13499;14360;19676;13239;10548;4982;9279;43258;14731;16232;14685;24102;4216;6643;5890;4439;4759;7817;7450;5425;
300;81723;88453;87554;77544;133184;156769;101738;167426;132700;155185;91412;210739;140769;168907;93329;176813;46597;43676;22568;89876;39448;48252;26287;84404;23748;25135;25887;23137;9546;25994;25933;25838;21294;31740;20357;18880;17840;8194;19910;97630;23744;27678;25480;30252;7699;13402;11392;7106;7531;14383;12828;9005;
400;145279;161478;158726;156745;239111;257022;189717;293152;241017;272905;202724;294753;252123;281303;177647;300406;64558;77479;37964;154525;67984;84219;43370;140465;24894;25271;24768;23534;12671;34658;34781;40495;31135;34048;28868;25194;30789;13910;26093;175745;34065;42086;36840;38861;8613;22822;20296;9653;14572;31723;24286;12397;
500;218673;241692;236490;213804;353845;407957;289375;461479;364808;415721;281931;460545;374442;428824;259009;467022;107213;136355;62962;230160;110114;132360;64161;223933;25587;25254;24244;24706;15301;54949;43054;43415;42733;47021;36932;33203;52215;20446;28449;285439;45023;57061;50159;51703;12055;39557;30743;14115;13930;36716;32145;17272;
600;339637;346657;342817;323131;545880;594609;433618;700102;542647;644480;438494;675867;559853;625118;454262;707022;135715;179729;81765;337825;146287;184238;94426;319266;27004;29410;24821;28363;18506;50766;57256;50458;48730;55149;42828;38566;68817;27594;33518;387071;56917;69710;65158;63848;15516;44636;39106;16706;18530;58134;46516;20962;
700;439425;467395;451359;429755;678834;794507;623644;963397;718193;861244;582471;925317;728238;826004;540668;922766;202392;303780;113772;472818;194106;239887;121070;414546;25257;25925;26295;32602;21263;59617;62204;58705;56139;93986;53327;52738;83559;33239;87222;514709;74339;80606;75216;74616;24680;53847;48466;19527;27199;59058;62597;24345;
800;582617;590079;582332;576307;880883;986560;727152;1186083;884709;1027212;729310;1172877;929419;1071833;788094;1223305;248903;300938;145210;626960;249955;314113;149984;534531;25387;25407;27202;32734;26984;68395;69307;68357;72202;76535;62874;51446;113240;40801;63282;687055;77646;132554;114870;110023;32247;77055;59791;23929;32574;86047;70504;37220;
900;768382;823957;809836;722833;1293975;1449958;951807;1655835;1423192;1371049;972821;1619657;1243287;1379753;1028250;1599577;345103;399968;186022;774842;349037;424800;197365;694998;26487;26830;31167;27216;29460;78721;83446;85226;83888;92065;74231;70290;141528;52782;48165;1008091;98174;121579;112486;111998;28516;81128;75101;29197;37370;124067;114479;49814;
1000;961341;938257;954924;901049;1840137;1887663;1324484;2336751;1450993;1714621;1234224;1944927;1554771;1773021;1202559;1947548;433146;511194;232156;974198;387978;487719;333555;1009967;28281;35147;30972;34273;34215;91781;94115;94001;92444;110230;90997;75161;197387;78900;69024;1197004;127384;136988;121816;122427;32571;87952;82577;30603;37275;95504;88448;39973;
